hastag_H	cluster_C_leader	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_tweets_in_C	count_H_entire_dataset	count_tweets_entire_dataset
Macron                                578601744            0.28736  0.17333  .60317427894435819919  13    75     29529  48956
Lviv                                  1148374192586481664  0.31236  0.18841  .60317427894435819919  13    69     29529  48956
longCOVID                             967871677399994368   1.43685  0.86667  .60317427894435819919  13    15     29529  48956
LastWord                              1028022611324747776  1.07763  0.65000  .60317427894435819919  13    20     29529  48956
Kremlin                               870244616003403781   0.10940  0.06599  .60317427894435819919  13    197    29529  48956
HotTopics                             614600545            1.26781  0.76471  .60317427894435819919  13    17     29529  48956
History                               614600545            0.13641  0.08228  .60317427894435819919  13    158    29529  48956
FreeUkraine                           870244616003403781   1.26781  0.76471  .60317427894435819919  13    17     29529  48956
FreePalestine                         41186732             0.29524  0.17808  .60317427894435819919  13    73     29529  48956
FoxNews                               940778288871542786   0.30789  0.18571  .60317427894435819919  13    70     29529  48956
FOSTER                                4757894056           0.82895  0.50000  .60317427894435819919  13    26     29529  48956
DemCast                               1417952253449842692  1.07763  0.65000  .60317427894435819919  13    20     29529  48956
BettyWhite                            2530758806           0.74320  0.44828  .60317427894435819919  13    29     29529  48956
AwakenChurchSD                        935349971129311233   1.65790  1.00000  .60317427894435819919  13    13     29529  48956
ArmUkraineNow                         870244616003403781   1.65790  1.00000  .60317427894435819919  13    13     29529  48956
AhmaudArbery                          614600545            1.34704  0.81250  .60317427894435819919  13    16     29529  48956
worldwar3                             45379403             1.53037  0.92308  .60317427894435819919  12    13     29529  48956
WomensHistoryMonth                    838381908656603144   1.10527  0.66667  .60317427894435819919  12    18     29529  48956
WillSmith                             614600545            0.47368  0.28571  .60317427894435819919  12    42     29529  48956
WeStandWithUkraine                    870244616003403781   1.32632  0.80000  .60317427894435819919  12    15     29529  48956
TN                                    3231054096           0.16859  0.10169  .60317427894435819919  12    118    29529  48956
Tesla                                 1477609642184396806  0.60288  0.36364  .60317427894435819919  12    33     29529  48956
stoprussia                            578601744            1.42105  0.85714  .60317427894435819919  12    14     29529  48956
sanctions                             3231054096           0.10471  0.06316  .60317427894435819919  12    190    29529  48956
russianinvasion                       870244616003403781   1.24342  0.75000  .60317427894435819919  12    16     29529  48956
Polish                                77726331             0.36842  0.22222  .60317427894435819919  12    54     29529  48956
PerjuryTaylorGreene                   826615125297680384   1.32632  0.80000  .60317427894435819919  12    15     29529  48956
NickiMinaj                            1471037967926018051  1.53037  0.92308  .60317427894435819919  12    13     29529  48956
Moskva                                870244616003403781   0.60288  0.36364  .60317427894435819919  12    33     29529  48956
Morrison                              2574271742           0.02732  0.01648  .60317427894435819919  12    728    29529  48956
mitchplease                           936620120255934466   1.65790  1.00000  .60317427894435819919  12    12     29529  48956
MitchMcConnell                        244954523            1.42105  0.85714  .60317427894435819919  12    14     29529  48956
MeToo                                 45379403             0.99474  0.60000  .60317427894435819919  12    20     29529  48956
MEMPHIS                               1060440219097423872  1.65790  1.00000  .60317427894435819919  12    12     29529  48956
MarshallFire                          2530758806           1.65790  1.00000  .60317427894435819919  12    12     29529  48956
LSSC                                  1492690652529889282  1.65790  1.00000  .60317427894435819919  12    12     29529  48956
LockHimUp                             244954523            0.76519  0.46154  .60317427894435819919  12    26     29529  48956
LeMMMMMMRip                           2886667320           1.53037  0.92308  .60317427894435819919  12    13     29529  48956
Lavrov                                870244616003403781   0.38259  0.23077  .60317427894435819919  12    52     29529  48956
kyiv                                  870244616003403781   0.82895  0.50000  .60317427894435819919  12    24     29529  48956
KENT                                  4757894056           1.65790  1.00000  .60317427894435819919  12    12     29529  48956
Hostomel                              870244616003403781   0.62171  0.37500  .60317427894435819919  12    32     29529  48956
helium                                1387010761994682371  0.34302  0.20690  .60317427894435819919  12    58     29529  48956
German                                77726331             0.05589  0.03371  .60317427894435819919  12    356    29529  48956
Georgia                               940778288871542786   0.20943  0.12632  .60317427894435819919  12    95     29529  48956
Galveston                             1353306974939738113  1.53037  0.92308  .60317427894435819919  12    13     29529  48956
Estonia                               77726331             0.36172  0.21818  .60317427894435819919  12    55     29529  48956
ElonMusk                              614600545            0.55263  0.33333  .60317427894435819919  12    36     29529  48956
ELDENRING                             870970040878862337   1.65790  1.00000  .60317427894435819919  12    12     29529  48956
DocsWhoRock                           981436419087523840   1.17028  0.70588  .60317427894435819919  12    17     29529  48956
COVID19Aus                            2886667320           1.53037  0.92308  .60317427894435819919  12    13     29529  48956
Coachella                             3222067490           1.04709  0.63158  .60317427894435819919  12    19     29529  48956
CARMARTHENSHIRE                       4757894056           1.65790  1.00000  .60317427894435819919  12    12     29529  48956
btc                                   1387010761994682371  0.25507  0.15385  .60317427894435819919  12    78     29529  48956
BrexitDisaster                        631283641            1.32632  0.80000  .60317427894435819919  12    15     29529  48956
BetoForTexas                          1155192156           1.53037  0.92308  .60317427894435819919  12    13     29529  48956
Azovstal                              3040987923           1.10527  0.66667  .60317427894435819919  12    18     29529  48956
art                                   302984766            0.00325  0.00196  .60317427894435819919  12    6137   29529  48956
โหนกระแส                              1264114113925402624  1.65790  1.00000  .60317427894435819919  11    11     29529  48956
มายบลูสองขวบ                           177400353            1.65790  1.00000  .60317427894435819919  11    11     29529  48956
WinterOlympics                        302984766            0.67544  0.40741  .60317427894435819919  11    27     29529  48956
WeWantVotingRights                    1155192156           1.51974  0.91667  .60317427894435819919  11    12     29529  48956
Wales                                 29447428             0.13409  0.08088  .60317427894435819919  11    136    29529  48956
VoteFordOut                           302984766            0.05317  0.03207  .60317427894435819919  11    343    29529  48956
ViuOriginalLineUp2022                 177400353            1.65790  1.00000  .60317427894435819919  11    11     29529  48956
Trudeau                               804582780298412032   0.03669  0.02213  .60317427894435819919  11    497    29529  48956
Taurus                                853523328            1.65790  1.00000  .60317427894435819919  11    11     29529  48956
SupportUkraine                        870244616003403781   1.65790  1.00000  .60317427894435819919  11    11     29529  48956
StPetersburg                          870244616003403781   1.65790  1.00000  .60317427894435819919  11    11     29529  48956
SK                                    1475643712596168706  0.13215  0.07971  .60317427894435819919  11    138    29529  48956
RussiaUkraine                         870244616003403781   0.18421  0.11111  .60317427894435819919  11    99     29529  48956
RishiSunak                            711608180535640064   0.36474  0.22000  .60317427894435819919  11    50     29529  48956
RespectMyUUUUUU                       29188599             1.65790  1.00000  .60317427894435819919  11    11     29529  48956
PS5                                   870970040878862337   1.01316  0.61111  .60317427894435819919  11    18     29529  48956
PoliticsLive                          631283641            1.65790  1.00000  .60317427894435819919  11    11     29529  48956
Pfizer                                29447428             0.33771  0.20370  .60317427894435819919  11    54     29529  48956
Paris                                 29447428             0.37218  0.22449  .60317427894435819919  11    49     29529  48956
Panorama                              2530758806           1.40283  0.84615  .60317427894435819919  11    13     29529  48956
NFLPlayoffs                           614600545            0.36474  0.22000  .60317427894435819919  11    50     29529  48956
NEW                                   1028022611324747776  0.03435  0.02072  .60317427894435819919  11    531    29529  48956
NeverVoteConservative                 302984766            0.08069  0.04867  .60317427894435819919  11    226    29529  48956
MLK                                   41186732             0.22514  0.13580  .60317427894435819919  11    81     29529  48956
ManGuxOhmFluke                        177400353            1.65790  1.00000  .60317427894435819919  11    11     29529  48956
MANCHESTER                            4757894056           1.65790  1.00000  .60317427894435819919  11    11     29529  48956
LoveAt9Q18                            177400353            1.65790  1.00000  .60317427894435819919  11    11     29529  48956
LoveAt9Q17                            177400353            1.65790  1.00000  .60317427894435819919  11    11     29529  48956
Legal                                 1387010761994682371  0.25329  0.15278  .60317427894435819919  11    72     29529  48956
Labour                                631283641            0.09700  0.05851  .60317427894435819919  11    188    29529  48956
JudgeKetanjiBrownJackson              59028892             1.13980  0.68750  .60317427894435819919  11    16     29529  48956
JohnnyDepp                            614600545            1.13980  0.68750  .60317427894435819919  11    16     29529  48956
Japan                                 3231054096           0.22514  0.13580  .60317427894435819919  11    81     29529  48956
ISIS                                  578601744            0.79291  0.47826  .60317427894435819919  11    23     29529  48956
IdolFanFest                           177400353            1.21578  0.73333  .60317427894435819919  11    15     29529  48956
GodofWarRagnarok                      870970040878862337   1.65790  1.00000  .60317427894435819919  11    11     29529  48956
Gaza                                  578601744            0.14589  0.08800  .60317427894435819919  11    125    29529  48956
FBPE                                  199452338            0.02031  0.01225  .60317427894435819919  11    898    29529  48956
eth                                   302984766            0.01214  0.00732  .60317427894435819919  11    1503   29529  48956
enjoylyrics                           1471037967926018051  0.82895  0.50000  .60317427894435819919  11    22     29529  48956
energy                                711608180535640064   0.09074  0.05473  .60317427894435819919  11    201    29529  48956
DonbRRRRRR                            45379403             0.79291  0.47826  .60317427894435819919  11    23     29529  48956
dementia                              302984766            0.47991  0.28947  .60317427894435819919  11    38     29529  48956
DefeatPutin                           1155192156           1.65790  1.00000  .60317427894435819919  11    11     29529  48956
ClimateEmergency                      41186732             0.52106  0.31429  .60317427894435819919  11    35     29529  48956
Caturday                              940778288871542786   1.21578  0.73333  .60317427894435819919  11    15     29529  48956
CatsOfTwitter                         1060440219097423872  1.21578  0.73333  .60317427894435819919  11    15     29529  48956
Bussin                                1471037967926018051  1.65790  1.00000  .60317427894435819919  11    11     29529  48956
BreonnaTaylor                         614600545            0.91184  0.55000  .60317427894435819919  11    20     29529  48956
BirthCertificateFraud                 1387010761994682371  1.65790  1.00000  .60317427894435819919  11    11     29529  48956
BA2variant                            45379403             1.40283  0.84615  .60317427894435819919  11    13     29529  48956
animals                               2530758806           0.19823  0.11957  .60317427894435819919  11    92     29529  48956
AbLeg                                 118166719            0.58829  0.35484  .60317427894435819919  11    31     29529  48956
ออกกองCloseFriend2D2                  177400353            1.65790  1.00000  .60317427894435819919  10    10     29529  48956
USSmess                               77726331             1.65790  1.00000  .60317427894435819919  10    10     29529  48956
UrgencyOfNormal                       124385387            1.65790  1.00000  .60317427894435819919  10    10     29529  48956
UkrainianArmy                         4842395709           1.50718  0.90909  .60317427894435819919  10    11     29529  48956
UAE                                   578601744            0.72082  0.43478  .60317427894435819919  10    23     29529  48956
tsunami                               832019161454817280   0.51809  0.31250  .60317427894435819919  10    32     29529  48956
TrumpIsGuilty                         936620120255934466   1.65790  1.00000  .60317427894435819919  10    10     29529  48956
TrumpCoupAttempt                      1921951394           0.82895  0.50000  .60317427894435819919  10    20     29529  48956
TruckersConvoy2022                    804582780298412032   0.37679  0.22727  .60317427894435819919  10    44     29529  48956
ToryRussianRRRRRRets                  711608180535640064   1.65790  1.00000  .60317427894435819919  10    10     29529  48956
ToryCorruption                        631283641            1.38157  0.83333  .60317427894435819919  10    12     29529  48956
TORTIE                                1060440219097423872  1.65790  1.00000  .60317427894435819919  10    10     29529  48956
TalkTV                                29447428             0.87258  0.52632  .60317427894435819919  10    19     29529  48956
Spotify                               1060440219097423872  0.14051  0.08475  .60317427894435819919  10    118    29529  48956
SOSNHS                                527445533            1.84210  1.11111  .60317427894435819919  10    9      29529  48956
SosatxLoveAt9                         177400353            1.65790  1.00000  .60317427894435819919  10    10     29529  48956
SlavaUkraine                          870244616003403781   1.38157  0.83333  .60317427894435819919  10    12     29529  48956
SheikhJarrah                          578601744            0.72082  0.43478  .60317427894435819919  10    23     29529  48956
ScottyFromPhotoOps                    3453306553           1.27530  0.76923  .60317427894435819919  10    13     29529  48956
SaturdayNightTakeaway                 29447428             1.50718  0.90909  .60317427894435819919  10    11     29529  48956
RussiaGoHome                          870244616003403781   1.50718  0.90909  .60317427894435819919  10    11     29529  48956
PresidentsDay                         41186732             1.18422  0.71429  .60317427894435819919  10    14     29529  48956
PamAndTommy                           1921951394           1.65790  1.00000  .60317427894435819919  10    10     29529  48956
Oscars2022                            950215424981028864   1.27530  0.76923  .60317427894435819919  10    13     29529  48956
nswpol                                3453306553           1.65790  1.00000  .60317427894435819919  10    10     29529  48956
MVอีกนานมั้ย                             177400353            1.38157  0.83333  .60317427894435819919  10    12     29529  48956
MSM                                   1387010761994682371  0.25507  0.15385  .60317427894435819919  10    65     29529  48956
MelanieShaw                           1387010761994682371  1.38157  0.83333  .60317427894435819919  10    12     29529  48956
MarchMadness                          614600545            0.97524  0.58824  .60317427894435819919  10    17     29529  48956
MAGA                                  981436419087523840   0.14170  0.08547  .60317427894435819919  10    117    29529  48956
LNPCrimeFamily                        1031000589054828544  1.27530  0.76923  .60317427894435819919  10    13     29529  48956
LARvsTB                               614600545            0.53480  0.32258  .60317427894435819919  10    31     29529  48956
Italy                                 1237015212160700416  0.27178  0.16393  .60317427894435819919  10    61     29529  48956
IPCC                                  832019161454817280   0.51809  0.31250  .60317427894435819919  10    32     29529  48956
inflation                             45379403             0.17451  0.10526  .60317427894435819919  10    95     29529  48956
ID                                    804582780298412032   0.00421  0.00254  .60317427894435819919  10    3942   29529  48956
HateWontWin                           936620120255934466   1.65790  1.00000  .60317427894435819919  10    10     29529  48956
GoodMorning                           1353306974939738113  1.50718  0.90909  .60317427894435819919  10    11     29529  48956
FSBletters                            578601744            1.65790  1.00000  .60317427894435819919  10    10     29529  48956
freedom                               86010091             0.06028  0.03636  .60317427894435819919  10    275    29529  48956
FFFFFFhead                            2886667320           0.66316  0.40000  .60317427894435819919  10    25     29529  48956
CovidVaccine                          302984766            1.27530  0.76923  .60317427894435819919  10    13     29529  48956
CovidIsAirborne                       302984766            0.75360  0.45455  .60317427894435819919  10    22     29529  48956
CancelStudentDebt                     1148374192586481664  1.27530  0.76923  .60317427894435819919  10    13     29529  48956
BUFvsKC                               614600545            0.78947  0.47619  .60317427894435819919  10    21     29529  48956
BrittneyGriner                        838381908656603144   0.59210  0.35714  .60317427894435819919  10    28     29529  48956
BrexitHasFailed                       631283641            1.65790  1.00000  .60317427894435819919  10    10     29529  48956
BravePalestine                        41186732             1.38157  0.83333  .60317427894435819919  10    12     29529  48956
BirthCertificate                      1387010761994682371  0.75360  0.45455  .60317427894435819919  10    22     29529  48956
BBCNews                               29447428             0.16415  0.09901  .60317427894435819919  10    101    29529  48956
ArrestRandyHillier                    302984766            0.97524  0.58824  .60317427894435819919  10    17     29529  48956
AmberHeard                            4213849704           1.03618  0.62500  .60317427894435819919  10    16     29529  48956
Alzheimers                            302984766            0.63766  0.38462  .60317427894435819919  10    26     29529  48956
agedcare                              2886667320           1.50718  0.90909  .60317427894435819919  10    11     29529  48956
AFPgraphics                           3231054096           1.65790  1.00000  .60317427894435819919  10    10     29529  48956
YORKSHIRE                             4757894056           1.49211  0.90000  .60317427894435819919  9     10     29529  48956
YachtWatch                            3040987923           1.65790  1.00000  .60317427894435819919  9     9      29529  48956
wolves                                2530758806           0.35527  0.21429  .60317427894435819919  9     42     29529  48956
wildlife                              2530758806           0.25290  0.15254  .60317427894435819919  9     59     29529  48956
VoteBlueIn2022                        1497976259296563200  0.64873  0.39130  .60317427894435819919  9     23     29529  48956
vaccination                           302984766            0.11567  0.06977  .60317427894435819919  9     129    29529  48956
UUK                                   77726331             0.43886  0.26471  .60317427894435819919  9     34     29529  48956
UkraineWillResist                     1229752606714728454  0.64873  0.39130  .60317427894435819919  9     23     29529  48956
UCUStrikes                            77726331             1.65790  1.00000  .60317427894435819919  9     9      29529  48956
TruthMatters                          1387010761994682371  1.65790  1.00000  .60317427894435819919  9     9      29529  48956
ToriesUnfitToGovern                   711608180535640064   1.65790  1.00000  .60317427894435819919  9     9      29529  48956
TheGNShow                             29447428             0.82895  0.50000  .60317427894435819919  9     18     29529  48956
thedrum                               1496792408792903684  1.65790  1.00000  .60317427894435819919  9     9      29529  48956
ThankaRepublican                      348764745            1.65790  1.00000  .60317427894435819919  9     9      29529  48956
TFG                                   940778288871542786   0.43886  0.26471  .60317427894435819919  9     34     29529  48956
StopTheWar                            45379403             0.82895  0.50000  .60317427894435819919  9     18     29529  48956
StopRussianAggression                 77726331             1.49211  0.90000  .60317427894435819919  9     10     29529  48956
StateOfTheUnion                       45379403             1.35646  0.81818  .60317427894435819919  9     11     29529  48956
SOTU2022                              614600545            0.87771  0.52941  .60317427894435819919  9     17     29529  48956
Scotland                              2800413166           0.10659  0.06429  .60317427894435819919  9     140    29529  48956
SaveUkraine                           870244616003403781   1.24342  0.75000  .60317427894435819919  9     12     29529  48956
Rwanda                                711608180535640064   0.36392  0.21951  .60317427894435819919  9     41     29529  48956
russians                              578601744            0.35527  0.21429  .60317427894435819919  9     42     29529  48956
Republicans                           1155192156           0.05236  0.03158  .60317427894435819919  9     285    29529  48956
RandyHillierIsARussianRRRRRRet        302984766            1.24342  0.75000  .60317427894435819919  9     12     29529  48956
pwME                                  139109800            1.49211  0.90000  .60317427894435819919  9     10     29529  48956
podcast                               1373739644           0.21942  0.13235  .60317427894435819919  9     68     29529  48956
photography                           1472366361322024966  0.48132  0.29032  .60317427894435819919  9     31     29529  48956
Novosibirsk                           77726331             1.35646  0.81818  .60317427894435819919  9     11     29529  48956
NoToWar                               45379403             0.09947  0.06000  .60317427894435819919  9     150    29529  48956
NorthernLights                        29447428             1.65790  1.00000  .60317427894435819919  9     9      29529  48956
NeverForget                           302984766            0.18651  0.11250  .60317427894435819919  9     80     29529  48956
MSNBC                                 1028022611324747776  0.11304  0.06818  .60317427894435819919  9     132    29529  48956
MI6Rogue                              1229752606714728454  0.82895  0.50000  .60317427894435819919  9     18     29529  48956
LoveAt9Q23                            177400353            1.65790  1.00000  .60317427894435819919  9     9      29529  48956
LevellingUp                           631283641            1.24342  0.75000  .60317427894435819919  9     12     29529  48956
Latvia                                870244616003403781   0.51451  0.31034  .60317427894435819919  9     29     29529  48956
LANCASHIRE                            4757894056           1.65790  1.00000  .60317427894435819919  9     9      29529  48956
JulianRRRRRRange                      45379403             1.35646  0.81818  .60317427894435819919  9     11     29529  48956
January6                              1263391922657337345  0.14487  0.08738  .60317427894435819919  9     103    29529  48956
Jan6                                  838381908656603144   0.39266  0.23684  .60317427894435819919  9     38     29529  48956
Iraq                                  45379403             0.36392  0.21951  .60317427894435819919  9     41     29529  48956
Iowa                                  940778288871542786   0.41447  0.25000  .60317427894435819919  9     36     29529  48956
InfectionMandate                      118166719            1.65790  1.00000  .60317427894435819919  9     9      29529  48956
ICYMI                                 2530758806           0.43886  0.26471  .60317427894435819919  9     34     29529  48956
HorizonForbiddenWest                  870970040878862337   1.65790  1.00000  .60317427894435819919  9     9      29529  48956
HAPPYTENDAY                           1261203450022359043  1.35646  0.81818  .60317427894435819919  9     11     29529  48956
HappyNewYear                          29447428             0.59684  0.36000  .60317427894435819919  9     25     29529  48956
GDCxTEN_SpecialStage                  1261203450022359043  1.14778  0.69231  .60317427894435819919  9     13     29529  48956
FreshResists                          244954523            1.14778  0.69231  .60317427894435819919  9     13     29529  48956
ForstaterTribunal                     29188599             1.65790  1.00000  .60317427894435819919  9     9      29529  48956
Flukepet                              177400353            1.65790  1.00000  .60317427894435819919  9     9      29529  48956
Fed                                   302984766            0.05526  0.03333  .60317427894435819919  9     270    29529  48956
Erbil                                 1028022611324747776  0.93257  0.56250  .60317427894435819919  9     16     29529  48956
EDINBURGH                             4757894056           1.65790  1.00000  .60317427894435819919  9     9      29529  48956
ECB                                   3231054096           1.35646  0.81818  .60317427894435819919  9     11     29529  48956
Easter                                29447428             0.12033  0.07258  .60317427894435819919  9     124    29529  48956
EarthDay2022                          832019161454817280   1.35646  0.81818  .60317427894435819919  9     11     29529  48956
DeSantis                              1155192156           0.10659  0.06429  .60317427894435819919  9     140    29529  48956
Denmark                               3040987923           0.20163  0.12162  .60317427894435819919  9     74     29529  48956
Cuba                                  41186732             0.39266  0.23684  .60317427894435819919  9     38     29529  48956
CivilianCasualties                    870244616003403781   1.65790  1.00000  .60317427894435819919  9     9      29529  48956
Chicago                               45379403             0.20440  0.12329  .60317427894435819919  9     73     29529  48956
ChefsForUkraine                       3264938916           0.67823  0.40909  .60317427894435819919  9     22     29529  48956
CARDIFF                               4757894056           1.49211  0.90000  .60317427894435819919  9     10     29529  48956
Britain                               4757894056           0.06089  0.03673  .60317427894435819919  9     245    29529  48956
BorisTheLiar                          1229752606714728454  0.87771  0.52941  .60317427894435819919  9     17     29529  48956
BlackLivesMatter                      614600545            0.37303  0.22500  .60317427894435819919  9     40     29529  48956
Belarusian                            870244616003403781   0.17350  0.10465  .60317427894435819919  9     86     29529  48956
BA2121                                826615125297680384   1.65790  1.00000  .60317427894435819919  9     9      29529  48956
AmbRRRRRRadorBridgeBlockade           302984766            0.87771  0.52941  .60317427894435819919  9     17     29529  48956
AlbumOfTheYear                        950215424981028864   1.65790  1.00000  .60317427894435819919  9     9      29529  48956
609BedtimeStory                       177400353            1.49211  0.90000  .60317427894435819919  9     10     29529  48956
텐                                    1261203450022359043  0.87771  0.52941  .60317427894435819919  9     17     29529  48956
李永钦0227生日快乐                    1261203450022359043  1.32632  0.80000  .60317427894435819919  8     10     29529  48956
李永钦                                1261203450022359043  0.57667  0.34783  .60317427894435819919  8     23     29529  48956
ออกกองCloseFriend2D5                  177400353            1.65790  1.00000  .60317427894435819919  8     8      29529  48956
เตนล์                                  1261203450022359043  1.10527  0.66667  .60317427894435819919  8     12     29529  48956
yegcc                                 118166719            1.47369  0.88889  .60317427894435819919  8     9      29529  48956
WorldNewsTonight                      614600545            0.94737  0.57143  .60317427894435819919  8     14     29529  48956
WorldCancerDay                        940778288871542786   1.65790  1.00000  .60317427894435819919  8     8      29529  48956
WeLoveOhmFluke                        177400353            1.65790  1.00000  .60317427894435819919  8     8      29529  48956
WeAreAllUkrainians                    192374137            1.65790  1.00000  .60317427894435819919  8     8      29529  48956
War                                   45379403             0.00769  0.00464  .60317427894435819919  8     1725   29529  48956
VolodymyrZelensky                     77726331             1.20574  0.72727  .60317427894435819919  8     11     29529  48956
VanRE                                 2530758806           1.65790  1.00000  .60317427894435819919  8     8      29529  48956
vaccines                              302984766            0.08394  0.05063  .60317427894435819919  8     158    29529  48956
USSMess                               77726331             1.65790  1.00000  .60317427894435819919  8     8      29529  48956
uss                                   870244616003403781   0.00186  0.00112  .60317427894435819919  8     7172   29529  48956
UkrainianVictory                      870244616003403781   1.65790  1.00000  .60317427894435819919  8     8      29529  48956
UKRAINE                               1387010761994682371  0.19222  0.11594  .60317427894435819919  8     69     29529  48956
Ucrania                               870244616003403781   1.47369  0.88889  .60317427894435819919  8     9      29529  48956
TruckersForFreedom                    804582780298412032   0.12167  0.07339  .60317427894435819919  8     109    29529  48956
TreatLongCovid                        139109800            1.65790  1.00000  .60317427894435819919  8     8      29529  48956
ToryCovidCatastrophe                  4757894056           1.47369  0.88889  .60317427894435819919  8     9      29529  48956
ToriesOut                             631283641            0.78019  0.47059  .60317427894435819919  8     17     29529  48956
Tories                                711608180535640064   0.06698  0.04040  .60317427894435819919  8     198    29529  48956
TikTok                                308045021            0.12632  0.07619  .60317427894435819919  8     105    29529  48956
TheReidOut                            614600545            1.10527  0.66667  .60317427894435819919  8     12     29529  48956
tenlee_1001                           1261203450022359043  1.47369  0.88889  .60317427894435819919  8     9      29529  48956
TEN_AestheticStage                    1261203450022359043  1.10527  0.66667  .60317427894435819919  8     12     29529  48956
TeamCanada                            302984766            0.53053  0.32000  .60317427894435819919  8     25     29529  48956
SwabYourThroat                        1028022611324747776  1.65790  1.00000  .60317427894435819919  8     8      29529  48956
SueGrayDay                            29447428             1.20574  0.72727  .60317427894435819919  8     11     29529  48956
SueGray                               29447428             0.26006  0.15686  .60317427894435819919  8     51     29529  48956
StPatricksDay                         853523328            1.65790  1.00000  .60317427894435819919  8     8      29529  48956
StormDudley                           29447428             1.65790  1.00000  .60317427894435819919  8     8      29529  48956
Starmer                               631283641            0.07169  0.04324  .60317427894435819919  8     185    29529  48956
Standtogether                         870244616003403781   1.65790  1.00000  .60317427894435819919  8     8      29529  48956
SriLanka                              45379403             0.51012  0.30769  .60317427894435819919  8     26     29529  48956
sotu                                  1028022611324747776  1.65790  1.00000  .60317427894435819919  8     8      29529  48956
SoCal                                 17531651             1.10527  0.66667  .60317427894435819919  8     12     29529  48956
ScottyThePathologicalLiar             3453306553           0.66316  0.40000  .60317427894435819919  8     20     29529  48956
SaveSheikhJarrah                      578601744            1.02024  0.61538  .60317427894435819919  8     13     29529  48956
RUSSIA                                1028022611324747776  0.23685  0.14286  .60317427894435819919  8     56     29529  48956
Romania                               870244616003403781   0.36842  0.22222  .60317427894435819919  8     36     29529  48956
Republican                            348764745            0.02256  0.01361  .60317427894435819919  8     588    29529  48956
REBHFun                               870970040878862337   1.65790  1.00000  .60317427894435819919  8     8      29529  48956
PRRRRRRover                           1308267623327518725  0.78019  0.47059  .60317427894435819919  8     17     29529  48956
PrayForUkraine                        302984766            0.88421  0.53333  .60317427894435819919  8     15     29529  48956
PeopleNotProfit                       832019161454817280   1.65790  1.00000  .60317427894435819919  8     8      29529  48956
PartyOfTreason                        1497976259296563200  1.47369  0.88889  .60317427894435819919  8     9      29529  48956
Pakistan                              45379403             0.53053  0.32000  .60317427894435819919  8     25     29529  48956
Outlander                             41653384             1.47369  0.88889  .60317427894435819919  8     9      29529  48956
OurLovelyTenDay                       1261203450022359043  1.32632  0.80000  .60317427894435819919  8     10     29529  48956
OttawaSiege                           302984766            0.40191  0.24242  .60317427894435819919  8     33     29529  48956
ONpoli                                302984766            1.47369  0.88889  .60317427894435819919  8     9      29529  48956
Odessa                                870244616003403781   0.37895  0.22857  .60317427894435819919  8     35     29529  48956
NPC                                   2574271742           0.18948  0.11429  .60317427894435819919  8     70     29529  48956
NotFitToGovern                        711608180535640064   1.65790  1.00000  .60317427894435819919  8     8      29529  48956
NFL                                   614600545            0.05391  0.03252  .60317427894435819919  8     246    29529  48956
NewsMap                               870244616003403781   1.65790  1.00000  .60317427894435819919  8     8      29529  48956
news                                  29447428             0.01553  0.00937  .60317427894435819919  8     854    29529  48956
NeverAgain                            804582780298412032   0.47368  0.28571  .60317427894435819919  8     28     29529  48956
NeilYoung                             981436419087523840   0.53053  0.32000  .60317427894435819919  8     25     29529  48956
MorningJoe                            1155192156           1.65790  1.00000  .60317427894435819919  8     8      29529  48956
mentalhealth                          302984766            1.02024  0.61538  .60317427894435819919  8     13     29529  48956
MEcfs                                 967871677399994368   1.47369  0.88889  .60317427894435819919  8     9      29529  48956
MarioDraghi                           997262774            1.65790  1.00000  .60317427894435819919  8     8      29529  48956
LoveAt9Q20                            177400353            1.65790  1.00000  .60317427894435819919  8     8      29529  48956
love                                  177400353            0.01232  0.00743  .60317427894435819919  8     1077   29529  48956
LNPDisgrace                           2574271742           0.57667  0.34783  .60317427894435819919  8     23     29529  48956
LIVE                                  614600545            0.13673  0.08247  .60317427894435819919  8     97     29529  48956
LiarTrump                             1353306974939738113  1.65790  1.00000  .60317427894435819919  8     8      29529  48956
LeadersDebate                         1496792408792903684  1.65790  1.00000  .60317427894435819919  8     8      29529  48956
KochNetwork                           527445533            1.65790  1.00000  .60317427894435819919  8     8      29529  48956
KITTEN                                1060440219097423872  1.02024  0.61538  .60317427894435819919  8     13     29529  48956
KBJ                                   826615125297680384   0.63158  0.38095  .60317427894435819919  8     21     29529  48956
JohnsonOut81                          711608180535640064   1.89474  1.14286  .60317427894435819919  8     7      29529  48956
JohnsonOut8                           711608180535640064   0.60288  0.36364  .60317427894435819919  8     22     29529  48956
JoeBiden                              1308267623327518725  0.22867  0.13793  .60317427894435819919  8     58     29529  48956
JanetJacksonDoc                       1471037967926018051  1.32632  0.80000  .60317427894435819919  8     10     29529  48956
J6                                    156688202            0.12058  0.07273  .60317427894435819919  8     110    29529  48956
IStandWithPutin                       192374137            1.89474  1.14286  .60317427894435819919  8     7      29529  48956
ICU                                   302984766            0.09473  0.05714  .60317427894435819919  8     140    29529  48956
health                                302984766            0.01184  0.00714  .60317427894435819919  8     1120   29529  48956
Haiti                                 2530758806           0.39009  0.23529  .60317427894435819919  8     34     29529  48956
Gostomel                              870244616003403781   0.69806  0.42105  .60317427894435819919  8     19     29529  48956
