hastag_H	cluster_C_leader	frequency_H_in_C	frequency_H_overall	count_H_in_C	count_tweets_in_C	count_H_entire_dataset	count_tweets_entire_dataset
Ottawa                                804582780298412032   0.14342  0.08651  .60317427894435819919  50    578    29529  48956
Zelensky                              870244616003403781   0.15775  0.09515  .60317427894435819919  49    515    29529  48956
SCOTUS                                100256670            0.75219  0.45370  .60317427894435819919  49    108    29529  48956
RESCUE                                1060440219097423872  1.35395  0.81667  .60317427894435819919  49    60     29529  48956
30DayOhmFlukeChallenge                177400353            1.65790  1.00000  .60317427894435819919  48    48     29529  48956
GRAMMYs                               950215424981028864   1.47021  0.88679  .60317427894435819919  47    53     29529  48956
COVID19AB                             118166719            0.54875  0.33099  .60317427894435819919  47    142    29529  48956
covid                                 139109800            0.08460  0.05103  .60317427894435819919  47    921    29529  48956
TrumpRally                            192374137            1.52526  0.92000  .60317427894435819919  46    50     29529  48956
Trump                                 1921951394           0.06272  0.03783  .60317427894435819919  46    1216   29529  48956
TABBY                                 1060440219097423872  1.46661  0.88462  .60317427894435819919  46    52     29529  48956
InternationalWomensDay                302984766            1.14778  0.69231  .60317427894435819919  45    65     29529  48956
Germany                               77726331             0.35026  0.21127  .60317427894435819919  45    213    29529  48956
ukraine                               870244616003403781   0.40753  0.24581  .60317427894435819919  44    179    29529  48956
Ontario                               302984766            0.09293  0.05605  .60317427894435819919  44    785    29529  48956
NBAAllStar                            2530758806           1.15789  0.69841  .60317427894435819919  44    63     29529  48956
Syria                                 578601744            0.44006  0.26543  .60317427894435819919  43    162    29529  48956
OtD                                   41186732             1.65790  1.00000  .60317427894435819919  43    43     29529  48956
Mykolaiv                              870244616003403781   1.08015  0.65152  .60317427894435819919  43    66     29529  48956
BCCRSS                                1387010761994682371  1.00407  0.60563  .60317427894435819919  43    71     29529  48956
USS                                   77726331             0.35346  0.21320  .60317427894435819919  42    197    29529  48956
Poland                                870244616003403781   0.47693  0.28767  .60317427894435819919  42    146    29529  48956
NHS                                   29447428             0.25321  0.15273  .60317427894435819919  42    275    29529  48956
yeg                                   118166719            0.81872  0.49383  .60317427894435819919  40    81     29529  48956
SlavaUkraini                          832019161454817280   1.44166  0.86957  .60317427894435819919  40    46     29529  48956
Moscow                                77726331             0.39241  0.23669  .60317427894435819919  40    169    29529  48956
Fluke_Natouch                         177400353            1.61746  0.97561  .60317427894435819919  40    41     29529  48956
ClimateCrisis                         41186732             0.40436  0.24390  .60317427894435819919  40    164    29529  48956
StopRussia                            870244616003403781   1.13435  0.68421  .60317427894435819919  39    57     29529  48956
Shanghai                              3231054096           0.99474  0.60000  .60317427894435819919  39    65     29529  48956
RussianArmy                           870244616003403781   1.34704  0.81250  .60317427894435819919  39    48     29529  48956
Covid_19                              302984766            0.99474  0.60000  .60317427894435819919  39    65     29529  48956
ยูเครน                                 1264114113925402624  1.57500  0.95000  .60317427894435819919  38    40     29529  48956
RussiaUkraineWar                      870244616003403781   1.43182  0.86364  .60317427894435819919  38    44     29529  48956
omicron                               302984766            0.50400  0.30400  .60317427894435819919  38    125    29529  48956
ADOPTION                              1060440219097423872  1.53659  0.92683  .60317427894435819919  38    41     29529  48956
Jerusalem                             41186732             0.50697  0.30579  .60317427894435819919  37    121    29529  48956
GoVegan                               1060440219097423872  1.61426  0.97368  .60317427894435819919  37    38     29529  48956
abpoli                                832019161454817280   0.63239  0.38144  .60317427894435819919  37    97     29529  48956
UN                                    614600545            0.10344  0.06239  .60317427894435819919  36    577    29529  48956
